emt12,emt34,emt1,cup12,cup34,cup1,con12,con34,con1,rom142,rom143,rom122,rom123,wir4,wir6,wir10
83.0,75.0,59.0,52.0,67.0,23.0,57.0,54.0,23.0,85.0,66.0,49.0,57.0,55.0,138.0,47.0
8.49096385542169,23.330933333333338,19.80525423728813,7.565576923076931,3.825223880597013,1.8499999999999992,8.042807017543867,7.671481481481485,2.4947826086956524,104.33082352941172,161.24439393939392,155.93244897959184,289.6294736842106,774.4738181818177,451.1940579710141,177.10936170212756
16.090482083946387,31.60991454853628,7.560291993068515,20.253124514548613,1.2119260381084813,1.7403003920431248,19.256003215545338,4.767553625825544,3.954020818408911,23.532501092044146,56.144943224007626,21.42985257479741,47.62047284148505,180.29423687396758,129.11372831301526,68.79977241507653
4.59,8.12,5.99,2.1,2.98,1.15,2.1,4.6,1.6,2.98,1.15,111.07,84.99,613.64,344.99,145.0
5.88,8.6,17.55,3.5575,2.98,1.15,3.98,4.6,1.6,90.0,158.0,149.0,289.0,614.28,409.0,155.99
5.99,10.47,20.62,3.98,2.98,1.15,5.99,5.99,1.6,114.0,159.0,149.0,289.0,709.0,445.81,155.99
7.22,11.91,20.62,5.99,3.66,1.15,5.99,6.45,1.6,117.0,160.1925,149.0,315.01,1047.78,470.43,165.0
150.0,98.99,34.23,150.0,5.99,7.24,150.0,20.0,20.62,128.62,330.85,227.29,339.09,1047.78,1144.69,398.95
