material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,amazon,98.99,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-28,steel,1515.46,7619.25,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,11.91,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-28,steel,1515.46,7619.25,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,Friday,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",32219,southeast,2022-10-28,steel,1515.46,7619.25,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.12,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,Friday,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",60901,central,2022-10-28,steel,1515.46,7619.25,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,Wednesday,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",32219,southeast,2022-11-02,steel,1491.44,7702.5,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.12,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,Wednesday,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",60901,central,2022-11-02,steel,1491.44,7702.5,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,amazon,98.99,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-02,steel,1491.44,7702.5,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,11.91,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,Wednesday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-02,steel,1491.44,7702.5,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.35,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,Wednesday,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",60901,central,2022-11-09,steel,1583.59,8033.85,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,11.91,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,Wednesday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-09,steel,1583.59,8033.85,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,Wednesday,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",32219,southeast,2022-11-09,steel,1583.59,8033.85,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,lowes,12.68,https://www.lowes.com/pd/Common-3-4-in-Actual-75-In-Metallic-Emt-10-ft-Conduit/3129553,Wednesday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-09,steel,1583.59,8033.85,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,Friday,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",32219,southeast,2022-11-04,steel,1637.04,7902.35,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,amazon,98.99,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-04,steel,1637.04,7902.35,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.6,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,Friday,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",60901,central,2022-11-04,steel,1637.04,7902.35,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,11.91,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,Friday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-11-04,steel,1637.04,7902.35,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,Wednesday,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",32219,southeast,2022-10-26,steel,1569.01,7762.0,about average
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,amazon,98.99,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-26,steel,1569.01,7762.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,11.91,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,Wednesday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-26,steel,1569.01,7762.0,high price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.36,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,Wednesday,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",60901,central,2022-10-26,steel,1569.01,7762.0,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,8.12,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,Monday,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",60901,central,2022-10-31,steel,1527.6,7522.5,low price
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,amazon,98.99,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,Monday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-31,steel,1527.6,7522.5,high price
