material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,355.5,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-20,copper,1500.53,7585.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,lowes,355.5,https://www.lowes.com/pd/Southwire-SIMpull-500-ft-6-AWG-Stranded-Black-Copper-THHN-Wire-By-the-Roll/50101714,Thursday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-20,copper,1500.53,7585.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,lowes,355.5,https://www.lowes.com/pd/Southwire-SIMpull-500-ft-6-AWG-Stranded-Black-Copper-THHN-Wire-By-the-Roll/50101714,Thursday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-20,copper,1500.53,7585.5,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-20,copper,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-20,copper,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,460.0,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-20,copper,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,460.0,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-20,copper,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,425.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-20,copper,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,425.0,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-20,copper,1500.53,7585.5,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379.0,https://www.homedepot.com/p/Cerrowire-500-ft-6-Gauge-Black-Stranded-Copper-THHN-Wire-112-4201J/202304649,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-27,copper,1549.92,7775.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379.0,https://www.homedepot.com/p/Cerrowire-500-ft-6-Gauge-Black-Stranded-Copper-THHN-Wire-112-4201J/202304649,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-27,copper,1549.92,7775.85,low price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-27,copper,1549.92,7775.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-27,copper,1549.92,7775.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,cooper-electric,1144.69,https://www.cooper-electric.com/product/detail/14990/wic-thhn-6-str-blk-500r,Thursday,"1 Matrix Drive. Monroe, NJ, 08831",08831,northeast,2022-10-27,copper,1549.92,7775.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,cooper-electric,1144.69,https://www.cooper-electric.com/product/detail/14990/wic-thhn-6-str-blk-500r,Thursday,"1 Matrix Drive. Monroe, NJ, 08831",08831,northeast,2022-10-27,copper,1549.92,7775.85,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-27,copper,1549.92,7775.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-27,copper,1549.92,7775.85,about average
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-28,copper,1515.46,7619.25,high price
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-28,copper,1515.46,7619.25,high price
