material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Thursday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-27,copper,1549.92,7775.85,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,socalelectric,117.0,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,Friday,"5512 West Pico Blvd. Los Angeles, CA, 90019",90019,west,2022-10-28,copper,1515.46,7619.25,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-28,copper,1515.46,7619.25,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-28,copper,1515.46,7619.25,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,Wednesday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-02,copper,1491.44,7702.5,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Wednesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-02,copper,1491.44,7702.5,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,Wednesday,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",55744,northplaines,2022-11-02,copper,1491.44,7702.5,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-02,copper,1491.44,7702.5,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,Wednesday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-11-09,copper,1583.59,8033.85,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,117.7,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-09,copper,1583.59,8033.85,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Wednesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-09,copper,1583.59,8033.85,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,Wednesday,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",55744,northplaines,2022-11-09,copper,1583.59,8033.85,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Friday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-04,copper,1637.04,7902.35,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-04,copper,1637.04,7902.35,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,Wednesday,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",55744,northplaines,2022-10-26,copper,1569.01,7762.0,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Wednesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-26,copper,1569.01,7762.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/b/14-2-Romex-Indiana-OTHER-Industrial-Wires-Cables/92078/bn_7022085018,Wednesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-26,copper,1569.01,7762.0,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,socalelectric,117.0,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,Wednesday,"5512 West Pico Blvd. Los Angeles, CA, 90019",90019,west,2022-10-26,copper,1569.01,7762.0,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,Monday,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",55744,northplaines,2022-10-31,copper,1527.6,7522.5,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118.0,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,Monday,"1000 Lowe's Blvd. Mooresville, NC, 28117",28117,east,2022-10-31,copper,1527.6,7522.5,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,Monday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-31,copper,1527.6,7522.5,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Monday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-31,copper,1527.6,7522.5,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,socalelectric,117.0,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,Monday,"5512 West Pico Blvd. Los Angeles, CA, 90019",90019,west,2022-10-31,copper,1527.6,7522.5,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,homedepot,118.0,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,Tuesday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-25,copper,1549.37,7534.85,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.99,https://www.ebay.com/itm/363478081520,Tuesday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-10-25,copper,1549.37,7534.85,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,Tuesday,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",55744,northplaines,2022-10-25,copper,1549.37,7534.85,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114.0,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Tuesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-25,copper,1549.37,7534.85,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,socalelectric,117.0,https://www.socalelectric.com/products/250-ft-14-2-romex-simpull-solid-nm-b-w-g-wire,Tuesday,"5512 West Pico Blvd. Los Angeles, CA, 90019",90019,west,2022-10-25,copper,1549.37,7534.85,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/b/14-2-Romex-Indiana-OTHER-Industrial-Wires-Cables/92078/bn_7022085018,Sunday,"2025 Hamilton Avenue. San Jose, California, 95125",95125,west,2022-11-06,copper,1600.95,7953.85,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,115.22,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,Sunday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-06,copper,1600.95,7953.85,about average
