material_description,vendor,material_price,link,dow,location,zip,region,date,raw_material,steel_price,copper_price,target_price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon,155.99,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,Saturday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-05,copper,1600.95,7953.85,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,wireandcableyourway,165.0,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,Saturday,"1431 7th St Ste 204. Santa Monica, California, 90401",90401,west,2022-11-05,copper,1600.95,7953.85,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon,171.49,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,Friday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,wireandcableyourway,165.0,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,Friday,"1431 7th St Ste 204. Santa Monica, California, 90401",90401,west,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,cooper-electric,398.95,https://www.cooper-electric.com/product/detail/23760/thhn-copper-wic-thhn-10-str-blk-500r,Friday,"1 Matrix Drive. Monroe, NJ, 08831",08831,northeast,2022-10-21,copper,1580.45,7543.0,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon,155.99,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,Tuesday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-11-08,copper,1624.27,7973.0,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon,171.5,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-20,copper,1500.53,7585.5,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,cooper-electric,398.95,https://www.cooper-electric.com/product/detail/23760/thhn-copper-wic-thhn-10-str-blk-500r,Thursday,"1 Matrix Drive. Monroe, NJ, 08831",08831,northeast,2022-10-20,copper,1500.53,7585.5,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon,145.0,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,Thursday,"410 Terry Ave N. Seattle, WA, 98109",98109,west,2022-10-20,copper,1500.53,7585.5,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,homedepot,145.0,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-20,copper,1500.53,7585.5,low price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,wireandcableyourway,165.0,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,Thursday,"1431 7th St Ste 204. Santa Monica, California, 90401",90401,west,2022-10-27,copper,1549.92,7775.85,high price
500 ft. 10 Gauge Black Stranded Copper THHN Wire,homedepot,145.0,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,Thursday,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",30339,southeast,2022-10-27,copper,1549.92,7775.85,low price
