Materials Description,Product id,Material Price,vendor,location,Link,Formatted Datetime
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,20.0,amazon,"['410 Terry Ave N, Seattle 98109, WA']",https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/04/2022 10:50:33
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,202077147,1.6,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/04/2022 10:50:33
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/04/2022 10:50:33
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,3.66,supplyworks,"['101 Industrial Dr Bristol, TN, 37620-5422']",https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,11/04/2022 10:50:33
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,5.99,lowes,"['1000 Lowes Blvd., Mooresville, NC 28117']",https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,11/04/2022 10:50:33
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,75.88,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/Southwire-500-ft-14-Gauge-Black-Stranded-CU-THHN-Wire-22955958/203401613,11/04/2022 10:50:33
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,75.99,amazon,"['410 Terry Ave N, Seattle 98109, WA']",https://www.amazon.com/Cerro-112-3451J-500-Feet-14-Gauge-Stranded/dp/B00D49VOI6,11/04/2022 10:50:33
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,80.0,wireandcableyourway,['1431 7th St Ste 204'],https://www.wireandcableyourway.com/14-awg-thhn-stranded-building-wire-500ft-or-2500ft-spool,11/04/2022 10:50:33
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,64.99,farmandfleet,['on Racine Street'],https://www.farmandfleet.com/products/1329624-southwire-500-ft-14-black-solid-cu-thhn-wire.html,11/04/2022 10:50:33
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,106.0,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/Southwire-500-ft-12-Black-Stranded-CU-THHN-Wire-22964158/203401696,11/04/2022 10:50:33
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,117.0,lowes,"['1000 Lowes Blvd., Mooresville, NC 28117']",https://www.lowes.com/pd/Southwire-500-ft-12-AWG-Stranded-Black-Copper-THHN-Wire-By-the-Roll/3659372,11/04/2022 10:50:33
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,120.61,amazon,"['410 Terry Ave N, Seattle 98109, WA']",https://www.amazon.com/Gauge-Stranded-Copper-Wire-Black/dp/B0875QSY74,11/04/2022 10:50:33
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,155.99,amazon,"['410 Terry Ave N, Seattle 98109, WA']",https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/04/2022 10:50:33
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,114.0,amazon,"['410 Terry Ave N, Seattle 98109, WA']",https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/04/2022 10:50:33
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,111.07,ebay,"['2025 Hamilton Ave, San Jose, CA 95125']",https://www.ebay.com/itm/363478081520,11/04/2022 10:50:33
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,158.0,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,11/04/2022 10:50:33
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,158.0,lowes,"['1000 Lowes Blvd., Mooresville, NC 28117']",https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,11/04/2022 10:50:33
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,172.22,ebay,"['2025 Hamilton Ave, San Jose, CA 95125']",https://www.ebay.com/itm/203704802084,11/04/2022 10:50:33
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,159.0,pinterest,"['651 Brannan St, San Francisco, CA 94107, USA']",https://www.pinterest.com/pin/815010863793613287/,11/04/2022 10:50:33
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/04/2022 10:50:33
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,lowes,"['1000 Lowes Blvd., Mooresville, NC 28117']",https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,11/04/2022 10:50:33
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,279.0,homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,11/04/2022 10:50:33
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,289.0,lowes,"['1000 Lowes Blvd., Mooresville, NC 28117']",https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,11/04/2022 10:50:33
