vendor_location,formatted_datetime
homedepot,11/01/2022 16:21:32
wilmar,11/01/2022 16:21:32
dkhardware,11/01/2022 16:21:32
lowes,11/01/2022 16:21:32
ebarnett,11/01/2022 16:21:32
gordonelectricsupply,11/01/2022 16:21:32
amazon,11/01/2022 16:21:32
menards,11/01/2022 16:21:32
com/p/steel-city-emt-conduit-connector-785991183801,11/01/2022 16:21:32
supplyworks,11/01/2022 16:21:32
pinterest,11/01/2022 16:21:32
ebay,11/01/2022 16:21:32
qcsupply,11/01/2022 16:21:32
