vendor,location,formatted_datetime
homedepot,"['2455 Paces Ferry Rd. Atlanta, GA 30339']",11/04/2022 10:53:15
wilmar,"['28 Biopolis Road, Singapore, 138568']",11/04/2022 10:53:15
ebarnett,['location'],11/04/2022 10:53:15
gordonelectricsupply,"['1290 North Hobbie Street Kankakee, IL 60901']",11/04/2022 10:53:15
amazon,"['410 Terry Ave N, Seattle 98109, WA']",11/04/2022 10:53:15
lowes,"['1000 Lowes Blvd., Mooresville, NC 28117']",11/04/2022 10:53:15
ebay,"['2025 Hamilton Ave, San Jose, CA 95125']",11/04/2022 10:53:15
supplyworks,"['101 Industrial Dr Bristol, TN, 37620-5422']",11/04/2022 10:53:15
menards,"['Eau Claire, WI']",11/04/2022 10:53:15
southwestlumber,"['1917 S Avenue B Yuma, AZ 85364']",11/04/2022 10:53:15
pinterest,"['651 Brannan St, San Francisco, CA 94107, USA']",11/04/2022 10:53:15
