material_description,material_price,vendor,link,formatted_datetime
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,4.73,ebarnett,https://www.ebarnett.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,11/10/2022 12:48:47
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.35,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/10/2022 12:48:47
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,https://www.dkhardware.com/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-101568-product-3154073.html,11/10/2022 12:48:47
,,,,
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/10/2022 12:48:47
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/10/2022 12:48:47
,,,,
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),4.6,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/10/2022 12:48:47
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/10/2022 12:48:47
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,amazon,https://denalibuildingsupply.com/products/southwire-romex-simpull-250-ft-14-2-solid-non-metallic-wire-by-the-roll,11/10/2022 12:48:47
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,143.99,amazon,https://www.amazon.com/14-3-romex/s?k=14%2F3+romex,11/10/2022 12:48:47
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/10/2022 12:48:47
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,289.0,ebay,https://www.ebay.com/itm/203899220280,11/10/2022 12:48:47
500 ft. 4 Gauge Black Stranded Copper THHN Wire,634.6,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,11/10/2022 12:48:47
500 ft. 6 Gauge Black Stranded Copper THHN Wire,392.7,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-20493301-500BLK-BLDG/dp/B000LNKH2C,11/10/2022 12:48:47
500 ft. 10 Gauge Black Stranded Copper THHN Wire,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/10/2022 12:48:47
