material_description,material_price,vendor,location,dow,zip,region,date,steel_price,copper_price,target_price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Monday,other,other,2022-10-31,1527.6,7522.5,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,8.9,linemen-tools,"5941 1st Avenue Eastman, GA, 31023",Monday,31023,southeast,2022-10-31,1527.6,7522.5,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Monday,33009,southeast,2022-10-31,1527.6,7522.5,high price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Tuesday,30339,southeast,2022-11-01,1566.0,7742.35,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Tuesday,other,other,2022-11-01,1566.0,7742.35,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,33.34,dkhardware,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",Tuesday,33009,southeast,2022-11-01,1566.0,7742.35,high price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Wednesday,30339,southeast,2022-11-02,1491.44,7702.5,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Wednesday,other,other,2022-11-02,1491.44,7702.5,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Thursday,30339,southeast,2022-11-03,1519.22,7509.5,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Thursday,other,other,2022-11-03,1519.22,7509.5,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Friday,30339,southeast,2022-11-04,1637.04,7902.35,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Friday,other,other,2022-11-04,1637.04,7902.35,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Saturday,30339,southeast,2022-11-05,1600.95,7953.85,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Saturday,other,other,2022-11-05,1600.95,7953.85,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Sunday,30339,southeast,2022-11-06,1600.95,7953.85,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Sunday,other,other,2022-11-06,1600.95,7953.85,low price
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,20.62,homedepot,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",Monday,30339,southeast,2022-11-07,1600.95,7953.85,about average
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,17.55,wilmar,"28 Biopolis Road. Singapore, 138568",Monday,other,other,2022-11-07,1600.95,7953.85,low price
