emt12,emt34,emt1,cup12,cup34,cup1,con12,con34,con1,rom142,rom143,rom122,rom123,wir4,wir6,wir10
116.0,82.0,72.0,57.0,84.0,28.0,67.0,72.0,31.0,123.0,81.0,60.0,77.0,76.0,99.0,83.0
6.586896551724143,10.506219512195129,21.564861111111085,4.821403508771928,3.777976190476192,1.1907142857142852,5.476268656716422,9.771250000000004,1.6303225806451618,109.60699186991866,169.9455555555556,156.64399999999998,303.13012987012974,753.0746052631573,442.0498989898991,171.57132530120475
2.950257885203495,1.7570068826807168,7.449552211338095,2.06646907152246,1.2279042580332376,0.21543974961525955,2.1303768594062467,17.530902448790652,0.17928531955085333,14.09634901778049,40.290460254258704,18.90872224528014,23.664160248064366,165.1215182701579,110.26993810640188,58.31295368727569
4.49,8.12,8.9,2.1,2.98,1.15,2.1,4.6,0.98,84.99,135.0,149.0,279.0,613.64,344.99,145.0
5.88,8.6,17.55,3.98,2.98,1.15,3.98,4.6,1.6,110.0,158.0,149.0,289.0,634.6,409.0,155.99
5.99,10.47,20.62,3.98,2.98,1.15,5.99,5.99,1.6,114.0,159.0,149.0,289.0,663.1700000000001,445.81,156.0
7.22,11.91,24.99,5.99,3.66,1.15,5.99,6.45,1.6,118.0,160.59,149.0,315.01,765.0,449.0,165.0
26.18,18.88,34.23,8.54,5.99,2.29,9.99,150.0,1.99,183.33,330.85,227.29,352.78,1047.78,1144.69,398.95
