material_description,material_price,vendor,location,formatted_datetime,dow,zip,region,target price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/28/2022 13:28:58,Friday,95125,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/28/2022 13:28:58,Friday,90019,west,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/29/2022 10:24:34,Saturday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/29/2022 10:24:34,Saturday,95125,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",10/29/2022 10:24:34,Saturday,55744,northplaines,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/29/2022 10:24:34,Saturday,90019,west,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/30/2022 15:30:27,Sunday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/30/2022 15:30:27,Sunday,28117,east,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/30/2022 15:30:27,Sunday,95125,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",10/30/2022 15:30:27,Sunday,55744,northplaines,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/30/2022 15:30:27,Sunday,90019,west,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,114.0,amazon,"410 Terry Ave N. Seattle, WA, 98109",10/31/2022 08:50:13,Monday,98109,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,118.0,lowes,"1000 Lowe's Blvd. Mooresville, NC, 28117",10/31/2022 08:50:13,Monday,28117,east,high price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,111.07,ebay,"2025 Hamilton Avenue. San Jose, California, 95125",10/31/2022 08:50:13,Monday,95125,west,about average
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,84.99,landmsupply,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",10/31/2022 08:50:13,Monday,55744,northplaines,low price
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,117.0,socalelectric,"5512 West Pico Blvd. Los Angeles, CA, 90019",10/31/2022 08:50:13,Monday,90019,west,high price
