Materials Description,Product id,Material Price,Vendor Location,Link,Formatted Datetime
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,202077147,1.99,com/p/steel-city-emt-conduit-connector-785991183801,https://killingworthtruevalue.com/p/steel-city-emt-conduit-connector-785991183801,11/02/2022 15:48:44
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/02/2022 15:48:44
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,11/02/2022 15:48:44
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,pinterest,https://www.pinterest.com/pin/230668812499210604/,11/02/2022 15:48:44
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,75.88,homedepot,https://www.homedepot.com/p/Southwire-500-ft-14-Gauge-Black-Stranded-CU-THHN-Wire-22955958/203401613,11/02/2022 15:48:44
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,106.54,amazon,https://www.amazon.com/Cerro-112-3451J-500-Feet-14-Gauge-Stranded/dp/B00D49VOI6,11/02/2022 15:48:44
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,150.0,supplyworks,https://www.supplyworks.com/Sku/203401613/southwire-500-ft-14-gauge-black-stranded-cu-thhn-wire-032886892813-22955958,11/02/2022 15:48:44
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,64.99,farmandfleet,https://www.farmandfleet.com/products/1329624-southwire-500-ft-14-black-solid-cu-thhn-wire.html,11/02/2022 15:48:44
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,120.61,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Wire-Black/dp/B0875QSY74,11/02/2022 15:48:44
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,145.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,11/02/2022 15:48:44
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/02/2022 15:48:44
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,165.0,wireandcableyourway,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,11/02/2022 15:48:44
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,114.0,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/02/2022 15:48:44
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,118.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/02/2022 15:48:44
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,111.07,ebay,https://www.ebay.com/itm/363478081520,11/02/2022 15:48:44
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,84.99,landmsupply,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,11/02/2022 15:48:44
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,158.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,11/02/2022 15:48:44
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,162.74,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,11/02/2022 15:48:44
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,172.22,ebay,https://www.ebay.com/itm/203704802084,11/02/2022 15:48:44
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,215.0,walmart,https://www.walmart.com/ip/250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire/786548661,11/02/2022 15:48:44
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/02/2022 15:48:44
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,149.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,11/02/2022 15:48:44
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,202019375,150.0,supplyworks,https://www.supplyworks.com/Sku/2487704/southwire-250-ft-122-solid-romex-simpull-cu-nm-b-wg-wire-032886163050-28828255,11/02/2022 15:48:44
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,202316276,339.09,qcsupply,https://www.qcsupply.com/12-3-romex-simpull-wire-250ft.html,11/02/2022 15:48:44
