Materials Description,Product id,Material Price,vendor,Link,Formatted Datetime
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,20.62,homedepot,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,11/09/2022 03:57:37
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400409,17.55,wilmar,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,11/09/2022 03:57:37
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,11.91,homedepot,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11/09/2022 03:57:37
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,12.68,lowes,https://www.lowes.com/pd/Common-3-4-in-Actual-75-In-Metallic-Emt-10-ft-Conduit/3129553,11/09/2022 03:57:37
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,10.47,ebarnett,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/09/2022 03:57:37
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400406,8.35,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898303-Emt-Conduit-3-4-Emt-Conduit-X-10/1673,11/09/2022 03:57:37
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/09/2022 03:57:37
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,8.54,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/09/2022 03:57:37
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Connector-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1000152643,11/09/2022 03:57:37
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,2.1,wilmar,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,11/09/2022 03:57:37
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),100137321,9.99,ebay,https://www.ebay.com/itm/203256309046,11/09/2022 03:57:37
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,26.18,homedepot,https://www.homedepot.ca/product/columbia-mbf-1-2-inch-emt-conduit/1000106377,11/09/2022 03:57:37
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,25.19,ca/1-2-x-10-emt-conduit-1022191,https://kent.ca/1-2-x-10-emt-conduit-1022191,11/09/2022 03:57:37
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,17.99,homehardware,https://www.homehardware.ca/en/12-x-10-emt-conduit/p/3621021,11/09/2022 03:57:37
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,100400405,4.73,gordonelectricsupply,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,11/09/2022 03:57:37
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,202241090,1.15,homedepot,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,11/09/2022 03:57:37
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,202241090,2.29,wilmar,https://www.wilmar.com/Sku/100548441/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411262808-26280,11/09/2022 03:57:37
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,3.98,homedepot,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/09/2022 03:57:37
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,5.99,amazon,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/09/2022 03:57:37
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),100144234,2.1,wilmar,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,11/09/2022 03:57:37
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,4.6,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26272/100163157,11/09/2022 03:57:37
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,11.03,amazon,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/09/2022 03:57:37
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),202077145,6.45,dkhardware,https://www.dkhardware.com/23212-3-4-in-electrical-metallic-tube-emt-set-screw-connector-product-3241496.html,11/09/2022 03:57:37
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,202077147,1.6,homedepot,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/09/2022 03:57:37
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,2.98,homedepot,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/09/2022 03:57:37
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),202288508,5.99,lowes,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,11/09/2022 03:57:37
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,81.95,homedepot,https://www.homedepot.com/p/Southwire-500-ft-14-Gauge-Black-Stranded-CU-THHN-Wire-22955958/203401613,11/09/2022 03:57:37
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,75.99,amazon,https://www.amazon.com/Cerro-112-3451J-500-Feet-14-Gauge-Stranded/dp/B00D49VOI6,11/09/2022 03:57:37
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,80.0,wireandcableyourway,https://www.wireandcableyourway.com/14-awg-thhn-stranded-building-wire-500ft-or-2500ft-spool,11/09/2022 03:57:37
500 ft. 14-Gauge Black Stranded CU THHN Wire,203401613,60.0,ebay,https://www.ebay.com/p/1203573345,11/09/2022 03:57:37
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,106.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-12-Black-Stranded-CU-THHN-Wire-22964158/203401696,11/09/2022 03:57:37
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,117.0,lowes,https://www.lowes.com/pd/Southwire-500-ft-12-AWG-Stranded-Black-Copper-THHN-Wire-By-the-Roll/3659372,11/09/2022 03:57:37
500 ft. 12 Gauge Black Stranded Copper THHN Wire,202304641,114.95,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Wire-Black/dp/B0875QSY74,11/09/2022 03:57:37
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,156.0,homedepot,https://www.homedepot.com/p/Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257/202316335,11/09/2022 03:57:37
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,155.99,amazon,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/09/2022 03:57:37
500 ft. 10 Gauge Black Stranded Copper THHN Wire,202304645,165.0,wireandcableyourway,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,11/09/2022 03:57:37
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,117.7,amazon,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/09/2022 03:57:37
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,118.0,lowes,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/09/2022 03:57:37
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,111.07,ebay,https://www.ebay.com/itm/363478081520,11/09/2022 03:57:37
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,202019377,84.99,landmsupply,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,11/09/2022 03:57:37
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,202316275,159.0,homedepot,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,11/09/2022 03:57:37
