material_description,vendor,material_price,link,formatted_datetime,dow,vendor_id,location,product_id
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/2/2022,Wednesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400405
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/29/2022,Saturday,6,"410 Terry Ave N. Seattle, WA, 98109",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/29/2022,Saturday,6,"410 Terry Ave N. Seattle, WA, 98109",202019375
500 ft. 4 Gauge Black Stranded Copper THHN Wire,amazon,613.64,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,11/2/2022,Wednesday,6,"410 Terry Ave N. Seattle, WA, 98109",202316275
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,walmart,215,https://www.walmart.com/ip/250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire/786548661,11/6/2022,Sunday,9,"702 S.W. 8th St. Bentonville, Arkansas, 72716",202304649
500 ft. 6 Gauge Black Stranded Copper THHN Wire,dkhardware,506.37,https://www.dkhardware.com/southwire-500-ft-6-black-stranded-cu-simpull-thhn-wire-20493301-product-3146605.html,11/7/2022,Monday,15,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,dkhardware,506.37,https://www.dkhardware.com/southwire-500-ft-6-black-stranded-cu-simpull-thhn-wire-20493301-product-3146605.html,11/7/2022,Monday,15,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",202019375
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,11.91,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11/10/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400406
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,supplyworks,5.88,https://www.supplyworks.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,10/22/2022,Saturday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",100400409
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,11/4/2022,Friday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304774
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,linemen-tools,8.9,https://www.linemen-tools.com/Electrical_Materials_Tubing_EMT_Conduit_1_x_10_p/wal-emt100.htm,10/29/2022,Saturday,14,"5941 1st Avenue Eastman, GA, 31023",100137321
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,149,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/9/2022,Wednesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304645
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100263,10/25/2022,Tuesday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",100400405
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),supplyworks,3.66,https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,10/20/2022,Thursday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",202241090
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,wilmar,17.55,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,11/7/2022,Monday,19,"28 Biopolis Road. Singapore, 138568",100137321
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,com/product/14-3-nm-b-wg-romex-wire-cable/,0.68,https://wirewireelectricsupply.com/product/14-3-nm-b-wg-romex-wire-cable/,11/6/2022,Sunday,NULL,NULL,202304649
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,homedepot,118,https://www.homedepot.com/p/Southwire-250-ft-14-2-Romex-SIMpull-Solid-NM-B-W-G-Wire-28827469/202019377,10/24/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304774
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,amazon,114,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,11/4/2022,Friday,6,"410 Terry Ave N. Seattle, WA, 98109",202304774
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/25/2022,Tuesday,6,"410 Terry Ave N. Seattle, WA, 98109",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/25/2022,Tuesday,6,"410 Terry Ave N. Seattle, WA, 98109",202019375
500 ft. 4 Gauge Black Stranded Copper THHN Wire,homedepot,765,https://www.homedepot.com/p/Southwire-500-ft-4-Black-Stranded-CU-SIMpull-THHN-Wire-20499001/202316585,11/11/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316275
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,com/p/steel-city-emt-conduit-connector-785991183801,1.99,https://killingworthtruevalue.com/p/steel-city-emt-conduit-connector-785991183801,11/2/2022,Wednesday,25,online,202288508
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,wilmar,2.29,https://www.wilmar.com/Sku/100548441/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411262808-26280,11/9/2022,Wednesday,19,"28 Biopolis Road. Singapore, 138568",100144234
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),amazon,8.54,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,11/1/2022,Tuesday,6,"410 Terry Ave N. Seattle, WA, 98109",100400405
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,menards,7.24,https://www.menards.com/main/electrical/conduit-conduit-fittings-raceways/conduit/wheatland-tube-company-emt-conduit/0559010000/p-1444446525135-c-6423.htm,11/4/2022,Friday,5,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",100400409
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/20/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202077145
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),lowes,5.99,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,11/7/2022,Monday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202077147
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,supplyworks,150,https://www.supplyworks.com/Sku/2487704/southwire-250-ft-122-solid-romex-simpull-cu-nm-b-wg-wire-032886163050-28828255,11/9/2022,Wednesday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",202304645
500 ft. 4 Gauge Black Stranded Copper THHN Wire,ebay,634.7,https://www.ebay.com/p/17040228268,11/8/2022,Tuesday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202316275
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,149,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/4/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304645
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,pinterest,159,https://www.pinterest.com/pin/815010863793613287/,11/4/2022,Friday,12,"651 Brannan St. San Francisco, CA, 94107",202304649
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/4/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400405
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,11.91,https://www.homedepot.com/p/3-4-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853429/100400406,11/7/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400406
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,lowes,118,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/12/2022,Saturday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304645
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,11/3/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400405
500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon,155.99,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,10/24/2022,Monday,6,"410 Terry Ave N. Seattle, WA, 98109",NULL
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),superarbor,3.6,https://www.superarbor.io/products/100163157-3-4-in-electrical-metallic-tube-emt-set-screw-connectors-5-pack,10/24/2022,Monday,22,online,202241090
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,11/12/2022,Saturday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304774
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),wilmar,2.1,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,10/30/2022,Sunday,19,"28 Biopolis Road. Singapore, 138568",100400405
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),wilmar,2.1,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,11/6/2022,Sunday,19,"28 Biopolis Road. Singapore, 138568",202077145
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,wilmar,17.55,https://www.wilmar.com/Sku/24-87610/allied-tube-and-conduit-1-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020032-101568,10/28/2022,Friday,19,"28 Biopolis Road. Singapore, 138568",100137321
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),supplyworks,3.66,https://www.supplyworks.com/Sku/202328185/halex-34-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232221-23222,11/1/2022,Tuesday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",202241090
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,344.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,11/7/2022,Monday,13,"1917 S Avenue B. Yuma, AZ, 85364",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,southwestlumber,344.99,https://www.southwestlumber.com/shop/electrical/cable-and-wire/building-wire/thhn-electrical-wire/southwire-500-ft-6-awg-stranded-black-thhn-wire?SKU=525650,11/7/2022,Monday,13,"1917 S Avenue B. Yuma, AZ, 85364",202019375
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,10/28/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,379,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,10/28/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019375
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,qcsupply,339.09,https://www.qcsupply.com/12-3-romex-simpull-wire-250ft.html,11/2/2022,Wednesday,10,"574 Road 11. Schuyler, Nebraska, 68661",202019377
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,10/30/2022,Sunday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,10/30/2022,Sunday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202019375
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,menards,7.24,https://www.menards.com/main/electrical/conduit-conduit-fittings-raceways/conduit/wheatland-tube-company-emt-conduit/3651321/p-1444446524964-c-6423.htm,10/25/2022,Tuesday,5,"4777 Menard Drive. Eau Claire, Wisconsin, 54703",100400409
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,homedepot,1.15,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/24/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100144234
500 ft. 4 Gauge Black Stranded Copper THHN Wire,amazon,634.6,https://www.amazon.com/SOUTHWIRE-COMPANY-LL-20499001-Stranded/dp/B002JFY1W2,11/11/2022,Friday,6,"410 Terry Ave N. Seattle, WA, 98109",202316275
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),amazon,5.99,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/27/2022,Thursday,6,"410 Terry Ave N. Seattle, WA, 98109",202077145
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,ebay,172.22,https://www.ebay.com/itm/203704802084,11/3/2022,Thursday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304649
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,355.5,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/20/2022,Thursday,6,"410 Terry Ave N. Seattle, WA, 98109",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,355.5,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/20/2022,Thursday,6,"410 Terry Ave N. Seattle, WA, 98109",202019375
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),wilmar,2.1,https://www.wilmar.com/Sku/202077151/halex-12-in-electrical-metallic-tube-emt-set-screw-coupling-5-pack-051411232207-23220,11/2/2022,Wednesday,19,"28 Biopolis Road. Singapore, 138568",202077145
3/4 in. Standard Fitting Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-3-4-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100265,10/26/2022,Wednesday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202241090
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebay,9.09,https://www.ebay.com/p/1700352648,10/24/2022,Monday,7,"2025 Hamilton Avenue. San Jose, California, 95125",100400409
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,11/8/2022,Tuesday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,ebay,445.81,https://www.ebay.com/itm/203860011450,11/8/2022,Tuesday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202019375
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),amazon,5.99,https://www.amazon.com/Halex-26270-STEEL-CONNECTOR-Silver/dp/B00L2J46LW,10/25/2022,Tuesday,6,"410 Terry Ave N. Seattle, WA, 98109",100400405
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,289,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/22/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019377
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,11/8/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,11/8/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019375
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,lowes,279,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,10/30/2022,Sunday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202019377
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,158,https://www.homedepot.com/p/Southwire-250-ft-14-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63946855/202316275,10/25/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304649
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,ebay,315.01,https://www.ebay.com/b/12-3-Romex/92078/bn_7023293830,10/24/2022,Monday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202019377
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,10/30/2022,Sunday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304774
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/27/2022,Thursday,6,"410 Terry Ave N. Seattle, WA, 98109",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,amazon,470.43,https://www.amazon.com/Cerrowire-112-4201J-500-Feet-Stranded-Black/dp/B00D49VU6W,10/27/2022,Thursday,6,"410 Terry Ave N. Seattle, WA, 98109",202019375
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,gordonelectricsupply,4.73,https://www.gordonelectricsupply.com/p/Allied-898302-Emt-Conduit-1-2-Emt-Conduit-X-10/1608,10/22/2022,Saturday,2,"1290 N Hobbie Ave. Kankakee, Illinois, 60901",100400409
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,20.62,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/20/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100137321
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,113.98,https://www.ebay.com/itm/363478081520,10/21/2022,Friday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304774
500 ft. 10 Gauge Black Stranded Copper THHN Wire,wireandcableyourway,165,https://www.wireandcableyourway.com/10-awg-thhn-stranded-wire-500ft-1000ft-or-2500ft-spool,10/27/2022,Thursday,11,"1431 7th St Ste 204. Santa Monica, California, 90401",NULL
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,lowes,146,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-3-Non-Metallic-Wire-By-the-Roll/3129317,11/10/2022,Thursday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304649
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,149,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/1/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304645
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/31/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400405
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,10/30/2022,Sunday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202316276
500 ft. 6 Gauge Black Stranded Copper THHN Wire,homedepot,409,https://www.homedepot.com/p/Southwire-500-ft-6-Black-Stranded-CU-SIMpull-THHN-Wire-20493301/202316339,10/30/2022,Sunday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019375
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,homedepot,20.62,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,11/12/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202288508
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,lowes,118,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,11/3/2022,Thursday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304774
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),amazon,20,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/2/2022,Wednesday,6,"410 Terry Ave N. Seattle, WA, 98109",202077147
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,homedepot,2.98,https://www.homedepot.com/p/Halex-3-4-in-Standard-Fitting-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-5-Pack-26282/202288508,11/12/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304774
500 ft. 10 Gauge Black Stranded Copper THHN Wire,amazon,155.99,https://www.amazon.com/Gauge-Stranded-Copper-Building-Wire/dp/B08DZMFZTR,11/7/2022,Monday,6,"410 Terry Ave N. Seattle, WA, 98109",NULL
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,dkhardware,157,https://www.dkhardware.com/southwire-250-ft-14-3-solid-romex-simpull-cu-nm-b-w-g-wire-63946855-product-3154366.html,10/20/2022,Thursday,15,"1835 E Hallandale Bch 264 Hallandale. Beach, FL, 33009",202304649
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),homedepot,3.98,https://www.homedepot.com/p/Halex-1-2-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connectors-5-Pack-26270/100137321,10/21/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400405
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,supplyworks,5.88,https://www.supplyworks.com/Sku/2487615/12-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020018-853428,11/5/2022,Saturday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",100400409
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,ebay,111.07,https://www.ebay.com/itm/363478081520,10/30/2022,Sunday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304774
1 in. Electric Metallic Tube (EMT) Set-Screw Coupling,homedepot,1.15,https://www.homedepot.com/p/Halex-1-in-Electric-Metallic-Tube-EMT-Set-Screw-Coupling-62810/202241090,10/20/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100144234
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,lowes,149,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,11/8/2022,Tuesday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202304645
1 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,20.62,https://www.homedepot.com/p/1-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-101568/100400409,10/24/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100137321
1/2 in. Electric Metallic Tube (EMT) Set-Screw Coupling (5-Pack),lowes,5.99,https://www.lowes.com/pd/Sigma-Electric-ProConnex-1-2-in-Set-Screw-Coupling-Electrical-Metal-Tubing-Compatible-Conduit-Fitting/1100263,10/28/2022,Friday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",100400405
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,7.22,https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,11/4/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400409
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,ebay,172.22,https://www.ebay.com/itm/203704802084,11/2/2022,Wednesday,7,"2025 Hamilton Avenue. San Jose, California, 95125",202304649
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,289,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,11/1/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019377
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),lowes,5.99,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,10/20/2022,Thursday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202077147
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,com/p/steel-city-emt-conduit-connector-785991183801,1.99,https://killingworthtruevalue.com/p/steel-city-emt-conduit-connector-785991183801,10/30/2022,Sunday,25,online,202288508
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,amazon,143.99,https://www.amazon.com/NM-B-Southwire-Romex-Electrical-Cable/dp/B07NJ5LRF1,11/9/2022,Wednesday,6,"410 Terry Ave N. Seattle, WA, 98109",202304649
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),amazon,20,https://www.amazon.com/Halex-Electrical-Set-Screw-Connector-12301B/dp/B00FQ570W0,11/3/2022,Thursday,6,"410 Terry Ave N. Seattle, WA, 98109",202077147
