material_description,vendor,material_price,link,formatted_datetime,dow,vendor_id,location,product_id
1 in. Electrical Metallic Tube (EMT) Set-Screw Connector,homedepot,1.6,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,10/29/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202288508
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,11/3/2022,Thursday,8,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",202304774
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,amazon,98.99,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,10/27/2022,Thursday,6,"410 Terry Ave N. Seattle, WA, 98109",100400406
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,149,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/8/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304645
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,1.6,https://www.homedepot.com/p/Halex-1-in-Electrical-Metallic-Tube-EMT-Set-Screw-Connector-62710/100562217,11/12/2022,Saturday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304649
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,amazon,98.99,https://www.amazon.com/EMT-Conduit-10-ft-Steel/dp/B0078RZC4M,10/28/2022,Friday,6,"410 Terry Ave N. Seattle, WA, 98109",100400406
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,289,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/31/2022,Monday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019377
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,289,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,10/25/2022,Tuesday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202019377
250 ft. 14/2 Romex SIMpull Solid NM-B W/G Wire,landmsupply,84.99,https://www.landmsupply.com/southwire-romex-simpull-cable-w-ground-white-14-2-awg-250-ft-28827455,11/8/2022,Tuesday,8,"1200 E Us Hwy 169. Grand Rapids, Minnesota, 55744",202304774
250 ft. 14/3 Solid Romex SIMpull CU NM-B W/G Wire,pinterest,159,https://www.pinterest.com/pin/815010863793613287/,11/8/2022,Tuesday,12,"651 Brannan St. San Francisco, CA, 94107",202304649
1/2 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,homedepot,7.22,https://www.homedepot.com/p/1-2-in-x-10-ft-Electric-Metallic-Tube-EMT-Conduit-853428/100400405,10/27/2022,Thursday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",100400409
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,149,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,11/6/2022,Sunday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304645
3/4 in. Electrical Metallic Tube (EMT) Set-Screw Connector (5-Pack),lowes,5.99,https://www.lowes.com/pd/Halex-3-4-in-EMT-STEEL-SET-SCREW-CONNECTOR-5-BAG/1002846668,11/2/2022,Wednesday,1,"1000 Lowe's Blvd. Mooresville, NC, 28117",202077147
1/2 in. Electrical Metallic Tube (EMT) Set-Screw Connectors (5-Pack),supplyworks,150,https://www.supplyworks.com/Sku/202077144/halex-12-in-electrical-metallic-tube-emt-set-screw-connector-5-pack-051411232108-23210,10/26/2022,Wednesday,3,"6260 Abbott Dr. Omaha, Nebraska, 68110",202077145
3/4 in. x 10 ft. Electric Metallic Tube (EMT) Conduit,ebarnett,10.47,https://www.ebarnett.com/Sku/2487616/34-in-x-10-ft-electric-metallic-tube-emt-conduit-091111020025-853429,11/1/2022,Tuesday,4,"4601 Bulls Bay Hwy #100. Jacksonville, FL, 32219",100400406
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,homedepot,149,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,10/21/2022,Friday,0,"2455 Paces Ferry Rd SE. Atlanta, GA, 30339",202304645
