Material Description,link,Material Price,Vendor Location
"Cerro 112-3871J 500-Feet 10-Gauge Stranded THHN, Black",https://www.amazon.com/Cerro-112-3871J-500-Feet-10-Gauge-Stranded/dp/B00D49VGCA,156.0,amazon
Southwire Romex SIMpull 250-ft 14/2 Solid Non-Metallic ...,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-14-2-Non-Metallic-Wire-By-the-Roll/1193437,118.0,lowes
SOUTHWIRE COMPANY #28827455 250' 14/2 W/G NM ...,https://www.amazon.com/SOUTHWIRE-COMPANY-28827455-250-Cable/dp/B000LNOJVW,114.0,amazon
250 ft 14 2 Romex Wire (ACTUAL ROMEX SIMPULL ...,https://www.ebay.com/itm/363478081520,113.98,ebay
Southwire Romex SIMpull 14/2 25' Residential NM-B Cu ...,https://www.walmart.com/ip/Southwire-Romex-SIMpull-14-2-25-Residential-NM-B-Cu-Indoor-Electrical-Wire/21176423,20.21,walmart
250 ft 14 3 Romex Wire (Actual Romex Brand) - eBay,https://www.ebay.com/itm/363478778827,126.98,ebay
14/3 romex - Amazon.com,https://www.amazon.com/14-3-romex/s?k=14%2F3+romex,144.0,amazon
Romex 250 Ft. 14-3 Solid White NMW/G Electrical Wire,https://www.walmart.com/ip/Romex-250-Ft-14-3-Solid-White-NMW-G-Electrical-Wire/22592303,168.55,walmart
250 ft. 12/2 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-12-2-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-28828269/202019375,149.0,homedepot
Southwire Romex SIMpull 250-ft 12/2 Solid Non-Metallic Wire ...,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-2-Non-Metallic-Wire-By-the-Roll/1193433,149.0,lowes
250 ft. 12/3 Solid Romex SIMpull CU NM-B W/G Wire,https://www.homedepot.com/p/Southwire-250-ft-12-3-Solid-Romex-SIMpull-CU-NM-B-W-G-Wire-63947655/202316276,289.0,homedepot
Southwire Romex SIMpull 250-ft 12/3 Solid Non-Metallic ...,https://www.lowes.com/pd/Southwire-Romex-SIMpull-250-ft-12-3-Non-Metallic-Wire-By-the-Roll/3136775,289.0,lowes
